"","Year","pheno"
"1",1987,109
"2",1988,117
"3",1989,110
"4",1990,118
"5",1992,111
"6",1994,103
"7",1997,82
"8",2004,119
"9",2007,119
"10",2008,108
"11",2010,110
"12",2011,106
"13",2012,125
"14",2013,112
"15",2014,109
"16",2015,111
"17",2016,127
"18",2018,117
"19",2019,101
"20",2020,107
