"","Year","pheno"
"1",1987,132
"2",1989,135
"3",1990,153
"4",1991,140
"5",1992,128
"6",1993,132
"7",1994,130
"8",1996,130
"9",1997,101
"10",2004,148
"11",2006,119
"12",2008,140
"13",2009,127
"14",2010,126
"15",2013,136
"16",2015,128
"17",2016,155
"18",2018,145
"19",2019,136
"20",2020,141
