"","Year","pheno"
"1",1987,118
"2",1990,147
"3",1991,133
"4",1992,123
"5",1993,126
"6",1994,123
"7",1995,125
"8",1996,126
"9",2004,140
"10",2006,116
"11",2007,136
"12",2008,138
"13",2009,128
"14",2010,121
"15",2011,119
"16",2013,131
"17",2014,124
"18",2015,122
"19",2016,141
"20",2020,138
