"","Year","pheno"
"1",1988,144
"2",1989,139
"3",1990,152
"4",1991,134
"5",1992,126
"6",1993,132
"7",1995,125
"8",1997,96
"9",2004,145
"10",2005,123
"11",2006,119
"12",2008,139
"13",2009,127
"14",2010,123
"15",2011,120
"16",2012,134
"17",2013,136
"18",2016,146
"19",2018,135
"20",2020,134
