"","Year","pheno"
"1",1987,118
"2",1988,131
"3",1989,123
"4",1990,141
"5",1991,123
"6",1992,117
"7",1993,130
"8",1994,120
"9",1995,123
"10",1996,125
"11",1997,92
"12",2004,137
"13",2006,109
"14",2007,128
"15",2008,125
"16",2012,130
"17",2013,118
"18",2014,114
"19",2016,138
"20",2020,121
