"","Year","pheno"
"1",1987,111
"2",1990,127
"3",1991,116
"4",1994,105
"5",1995,106
"6",1996,114
"7",2004,119
"8",2005,113
"9",2006,110
"10",2007,120
"11",2008,115
"12",2009,110
"13",2011,105
"14",2012,128
"15",2013,118
"16",2014,112
"17",2015,115
"18",2018,126
"19",2019,107
"20",2020,118
