"","Year","pheno"
"1",1987,108
"2",1988,115
"3",1989,112
"4",1990,115
"5",1991,112
"6",1992,112
"7",1993,110
"8",1994,101
"9",1996,109
"10",1997,83
"11",2006,105
"12",2007,115
"13",2010,104
"14",2011,105
"15",2012,122
"16",2014,108
"17",2015,107
"18",2018,116
"19",2019,101
"20",2020,104
