"","Year","pheno"
"1",1988,130
"2",1989,128
"3",1990,140
"4",1991,130
"5",1992,119
"6",1993,127
"7",1994,115
"8",1995,117
"9",1996,122
"10",2004,136
"11",2005,118
"12",2006,109
"13",2008,121
"14",2009,121
"15",2011,112
"16",2012,130
"17",2014,117
"18",2016,134
"19",2018,128
"20",2020,121
