"","Year","pheno"
"1",1987,127
"2",1988,138
"3",1989,134
"4",1990,139
"5",1992,128
"6",1994,126
"7",1995,125
"8",1996,126
"9",1997,101
"10",2004,137
"11",2005,125
"12",2006,118
"13",2007,133
"14",2009,121
"15",2010,122
"16",2012,133
"17",2014,123
"18",2016,140
"19",2018,131
"20",2020,127
