"","Year","pheno"
"1",1987,117
"2",1988,131
"3",1989,126
"4",1990,136
"5",1991,130
"6",1993,123
"7",1994,115
"8",1995,122
"9",1996,122
"10",1997,96
"11",2004,134
"12",2005,119
"13",2006,116
"14",2007,132
"15",2010,120
"16",2011,112
"17",2014,118
"18",2015,122
"19",2018,131
"20",2020,121
